,NAME,STATEFP,PLACEFP,B25001_001E,total_tax_sales,name,line_number,rate_2017,sales_per_thousand_households
63,BROADVIEW,17,8446,3619.0,265.0,BROADVIEW,1698,12.700999999999999,73.2246476927328
64,DIXMOOR,17,20149,1440.0,248.0,DIXMOOR,2318,17.316,172.22222222222223
65,CHICAGO RIDGE,17,14065,5500.0,230.0,CHICAGO RIDGE,2019,12.377,41.81818181818182
66,WILMETTE,17,82075,10078.0,234.0,WILMETTE,6183,7.784,23.21889263742806
67,CRESTWOOD,17,17497,5632.0,222.0,CRESTWOOD,2155,10.867,39.41761363636364
68,PALOS HILLS,17,57394,7230.0,236.0,PALOS HILLS,4816,9.863999999999999,32.641770401106506
69,POSEN,17,61314,2011.0,238.0,POSEN,5010,13.446,118.3490800596718
70,SCHILLER PARK,17,68081,4648.0,237.0,SCHILLER PARK,5511,12.25,50.989672977624785
71,HICKORY HILLS,17,34514,5351.0,236.0,HICKORY HILLS,3195,11.302,44.10390581199776
72,LA GRANGE,17,40767,5732.0,241.0,LA GRANGE,3636,8.785,42.04466154919749
73,BRIDGEVIEW,17,8225,5860.0,212.0,BRIDGEVIEW,1643,12.968,36.177474402730375
74,LEMONT,17,42795,6061.0,217.0,LEMONT,3763,7.564,35.802672826266296
75,LINCOLNWOOD,17,43744,4499.0,221.0,LINCOLNWOOD,3794,9.197000000000001,49.12202711713714
76,OLYMPIA FIELDS,17,55938,2279.0,217.0,OLYMPIA FIELDS,4615,16.705,95.21720052654672
77,PHOENIX,17,59572,880.0,219.0,PHOENIX,4982,26.39,248.86363636363637
78,NORRIDGE,17,53377,5802.0,190.0,NORRIDGE,4271,8.511000000000001,32.74732850741124
79,STICKNEY,17,72676,2456.0,185.0,STICKNEY,5746,13.632,75.32573289902281
80,HILLSIDE,17,35086,3289.0,183.0,HILLSIDE,3232,13.290999999999999,55.640012161751294
81,BUFFALO GROVE,17,9447,16430.0,194.0,BUFFALO GROVE,1780,11.415999999999999,11.807668898356665
82,SOUTH CHICAGO HEIGHTS,17,70629,1647.0,175.0,SOUTH CHICAGO HEIGHTS,5652,13.530999999999999,106.25379477838494
83,RIVER GROVE,17,64343,4388.0,150.0,RIVER GROVE,5166,11.902999999999999,34.184138559708295
84,JUSTICE,17,38830,5074.0,159.0,JUSTICE,3573,11.550999999999998,31.336223886480095
85,RIVER FOREST,17,64304,4079.0,142.0,RIVER FOREST,5137,9.884,34.812454032851186
86,FORD HEIGHTS,17,26710,1225.0,153.0,FORD HEIGHTS,2659,33.996,124.89795918367346
87,STONE PARK,17,72923,1457.0,139.0,STONE PARK,5777,16.788,95.40150995195607
88,PALOS HEIGHTS,17,57381,5135.0,127.0,PALOS HEIGHTS,4774,9.902000000000001,24.732229795520936
89,WINNETKA,17,82530,4292.0,123.0,WINNETKA,6216,7.85,28.657968313140728
90,BARTLETT,17,4013,14412.0,129.0,BARTLETT,1389,11.937999999999999,8.950874271440467
91,RIVERSIDE,17,64421,3394.0,115.0,RIVERSIDE,5237,11.157,33.88332351208014
92,GLENCOE,17,29652,3325.0,119.0,GLENCOE,2832,8.33,35.78947368421052
93,WESTERN SPRINGS,17,80242,4562.0,106.0,WESTERN SPRINGS,6057,7.449,23.23542306006138
94,COUNTRYSIDE,17,16873,2580.0,96.0,COUNTRYSIDE,2120,7.507000000000001,37.2093023255814
95,PALOS PARK,17,57407,2031.0,93.0,PALOS PARK,4848,8.273,45.79025110782865
96,BERKELEY,17,5404,1823.0,95.0,BERKELEY,1535,13.300999999999998,52.11190345584202
97,WILLOW SPRINGS,17,82049,2367.0,99.0,WILLOW SPRINGS,6130,11.12,41.82509505703422
98,NORTHFIELD,17,53663,2347.0,79.0,NORTHFIELD,4437,7.332000000000001,33.65999147848317
99,NORTH RIVERSIDE,17,54144,2778.0,79.0,NORTH RIVERSIDE,4350,8.937000000000001,28.43772498200144
100,INVERNESS,17,37608,2880.0,81.0,INVERNESS,3518,8.842,28.125
101,BARRINGTON,17,3844,4312.0,79.0,BARRINGTON,1314,7.26,18.320964749536177
102,HARWOOD HEIGHTS,17,33435,3826.0,85.0,HARWOOD HEIGHTS,3122,8.878,22.216414009409302
103,THORNTON,17,75185,1133.0,81.0,THORNTON,5914,18.954,71.49161518093557
104,LA GRANGE PARK,17,40793,5457.0,87.0,LA GRANGE PARK,3674,9.471,15.942825728422209
105,HOMETOWN,17,35866,2164.0,70.0,HOMETOWN,3416,11.7,32.34750462107209
106,BARRINGTON HILLS,17,3883,1614.0,69.0,BARRINGTON HILLS,1357,7.792999999999999,42.75092936802974
107,ROSELLE,17,65806,8583.0,54.0,ROSELLE,5356,10.207,6.291506466270535
108,ORLAND HILLS,17,56627,2319.0,56.0,ORLAND HILLS,4655,9.654,24.148339801638638
109,INDIAN HEAD PARK,17,37257,1788.0,53.0,INDIAN HEAD PARK,3488,7.885,29.6420581655481
110,BURR RIDGE,17,9980,4573.0,57.0,BURR RIDGE,1882,6.807,12.464465340039363
111,KENILWORTH,17,39519,859.0,43.0,KENILWORTH,3608,8.443999999999999,50.05820721769499
112,SOUTH BARRINGTON,17,70564,1530.0,46.0,SOUTH BARRINGTON,5596,7.479,30.065359477124183
113,MERRIONETTE PARK,17,48554,912.0,33.0,MERRIONETTE PARK,4080,11.1,36.18421052631579
114,HINSDALE,17,35307,5985.0,38.0,HINSDALE,3268,6.582999999999999,6.349206349206349
115,ROSEMONT,17,65819,1864.0,32.0,ROSEMONT,5388,9.873,17.167381974248926
116,ELMHURST,17,23620,16694.0,12.0,ELMHURST,2502,6.617999999999999,0.7188211333413203
117,BEDFORD PARK,17,4572,231.0,10.0,BEDFORD PARK,1432,13.384,43.290043290043286
118,HODGKINS,17,35385,713.0,9.0,HODGKINS,3301,10.685,12.622720897615707
