date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	80	6	138	18	0	0	312
2004	68	2	132	22	0	0	270
2005	89	2	136	28	0	0	313
2006	67	3	149	30	0	0	232
2007	69	6	133	33	0	0	422
2008	38	5	55	26	0	0	403
2009	78	3	114	36	0	0	426
2010	79	4	158	36	0	0	667
2011	90	6	113	42	0	0	812
2012	128	9	203	82	0	0	636
2013	142	8	153	107	0	0	754
2014	147	7	207	106	0	0	791
2015	186	35	214	130	0	0	763
2016	193	49	221	69	0	0	660
