date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	186	27	52	8	6	0	596
2004	272	40	77	12	6	0	656
2005	292	44	82	10	9	1	335
2006	245	42	76	14	8	2	449
2007	306	42	78	17	7	1	520
2008	258	51	63	15	8	0	372
2009	244	45	97	50	8	1	493
2010	320	32	163	27	2	0	765
2011	330	56	148	52	10	2	722
2012	359	62	193	117	4	0	762
2013	370	88	234	161	7	1	770
2014	407	96	175	332	19	2	770
2015	460	167	194	235	9	1	740
2016	465	234	187	241	10	0	523
