STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,statefp_2,COUNTYFP,COUNTYNS,geoid_2,name_2,namelsad_2,lsad_2,classfp_2,mtfcc_2,CSAFP,CBSAFP,METDIVFP,funcstat_2,aland_2,awater_2,intptlat_2,intptlon_2
17,35866,02394413,1735866,Hometown,Hometown city,25,C1,N,N,G4110,A,1240338,0,+41.7312484,-087.7311338,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35879,02398537,1735879,Homewood,Homewood village,47,C1,N,N,G4110,A,13509046,122555,+41.5594219,-087.6620247,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,17523,02398650,1717523,Crete,Crete village,47,C1,N,N,G4110,A,25103248,44678,+41.4394057,-087.6236214,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,27624,02398915,1727624,Frankfort,Frankfort village,47,C1,N,N,G4110,A,41638301,0,+41.5289060,-087.8210010,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,42795,02398417,1742795,Lemont,Lemont village,47,C1,N,N,G4110,A,20952427,1008508,+41.6672060,-087.9818764,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,65442,02399114,1765442,Romeoville,Romeoville village,47,C1,N,N,G4110,A,49242280,2665486,+41.6277547,-088.1057855,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,75484,02399987,1775484,Tinley Park,Tinley Park village,47,C1,N,N,G4110,A,41718921,30829,+41.5685794,-087.8042169,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,76935,02400029,1776935,University Park,University Park village,47,C1,N,N,G4110,A,27907573,5723,+41.4468945,-087.7129690,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,83245,02399735,1783245,Woodridge,Woodridge village,47,C1,N,N,G4110,A,25031702,416053,+41.7373922,-088.0441298,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35835,02398535,1735835,Homer Glen,Homer Glen village,47,C1,N,N,G4110,A,57309382,102627,+41.6051790,-087.9523726,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,56627,02399585,1756627,Orland Hills,Orland Hills village,47,C1,N,N,G4110,A,2964767,19721,+41.5911743,-087.8415395,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37907,02398280,1737907,Itasca,Itasca village,47,C1,N,N,G4110,A,12913348,316661,+41.9766165,-088.0187752,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,62016,02396288,1762016,Prospect Heights,Prospect Heights city,25,C1,N,N,G4110,A,11018358,78992,+42.1031853,-087.9248383,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,02154,02397986,1702154,Arlington Heights,Arlington Heights village,47,C1,Y,N,G4110,A,42995543,79089,+42.0973621,-087.9816706,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,03883,02398038,1703883,Barrington Hills,Barrington Hills village,47,C1,N,N,G4110,A,70168850,1597112,+42.1386415,-088.2029588,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,04013,02398041,1704013,Bartlett,Bartlett village,47,C1,N,N,G4110,A,40660593,499271,+41.9805463,-088.2047613,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,05248,02398095,1705248,Bensenville,Bensenville village,47,C1,N,N,G4110,A,14258172,111646,+41.9597005,-087.9434600,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,10513,02397534,1710513,Calumet Park,Calumet Park village,47,C1,N,N,G4110,A,2881331,92477,+41.6657352,-087.6576504,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,14026,02393512,1714026,Chicago Heights,Chicago Heights city,25,C1,N,N,G4110,A,26401571,33941,+41.5106847,-087.6346721,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,65338,02396420,1765338,Rolling Meadows,Rolling Meadows city,25,C1,N,N,G4110,A,14579258,16606,+42.0749095,-088.0253634,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,68003,02399769,1768003,Schaumburg,Schaumburg village,47,C1,Y,N,G4110,A,49947538,292112,+42.0290069,-088.0836563,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,72676,02399900,1772676,Stickney,Stickney village,47,C1,N,N,G4110,A,4983928,94151,+41.8170254,-087.7737005,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,72923,02399908,1772923,Stone Park,Stone Park village,47,C1,N,N,G4110,A,889897,0,+41.9032359,-087.8807011,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,73157,02399920,1773157,Streamwood,Streamwood village,47,C1,N,N,G4110,A,20178035,86802,+42.0205861,-088.1777706,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,18992,02398705,1718992,Deerfield,Deerfield village,47,C1,N,N,G4110,A,14323093,56946,+42.1660688,-087.8524665,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,19083,02398704,1719083,Deer Park,Deer Park village,47,C1,N,N,G4110,A,9391247,260406,+42.1662835,-088.0861798,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,19642,02394524,1719642,Des Plaines,Des Plaines city,25,C1,Y,N,G4110,A,37150631,379920,+42.0351182,-087.9010719,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,21696,02398774,1721696,East Dundee,East Dundee village,47,C1,N,N,G4110,A,7186072,606204,+42.0974370,-088.2480785,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,23256,02398803,1723256,Elk Grove Village,Elk Grove Village village,47,C1,N,N,G4110,A,29712508,146770,+42.0057778,-087.9930339,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,29938,02398977,1729938,Glenview,Glenview village,47,C1,N,N,G4110,A,36319550,109657,+42.0851622,-087.8273880,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,30328,02398174,1730328,Golf,Golf village,47,C1,N,N,G4110,A,1161331,0,+42.0585491,-087.7849406,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,32746,02398244,1732746,Hanover Park,Hanover Park village,47,C1,N,N,G4110,A,16437654,274167,+41.9812620,-088.1424610,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35307,02398514,1735307,Hinsdale,Hinsdale village,47,C1,N,N,G4110,A,11954673,86628,+41.8006825,-087.9281725,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,80242,02400150,1780242,Western Springs,Western Springs village,47,C1,N,N,G4110,A,7223001,0,+41.8022543,-087.9005509,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82075,02399704,1782075,Wilmette,Wilmette village,47,C1,N,N,G4110,A,13994253,23599,+42.0773232,-087.7286214,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82530,02399718,1782530,Winnetka,Winnetka village,47,C1,N,N,G4110,A,9859813,207366,+42.1062103,-087.7427639,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,83518,02399742,1783518,Worth,Worth village,47,C1,N,N,G4110,A,6134930,33039,+41.6882112,-087.7925772,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,81087,02400161,1781087,Wheeling,Wheeling village,47,C1,N,N,G4110,A,22460710,150683,+42.1296141,-087.9215028,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,47540,02399275,1747540,Matteson,Matteson village,47,C1,N,N,G4110,A,24093432,88795,+41.5088709,-087.7460436,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,56640,02399586,1756640,Orland Park,Orland Park village,47,C1,N,N,G4110,A,56978719,734532,+41.6081453,-087.8592903,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,57732,02399622,1757732,Park Forest,Park Forest village,47,C1,N,N,G4110,A,12849741,0,+41.4817472,-087.6868008,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37257,02398571,1737257,Indian Head Park,Indian Head Park village,47,C1,N,N,G4110,A,2409372,20705,+41.7684326,-087.8974051,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82985,02397360,1782985,Wood Dale,Wood Dale city,25,C1,N,N,G4110,A,12247007,271527,+41.9663062,-087.9808506,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,21904,02398777,1721904,East Hazel Crest,East Hazel Crest village,47,C1,N,N,G4110,A,2031301,0,+41.5757986,-087.6502727,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37608,02398578,1737608,Inverness,Inverness village,47,C1,N,N,G4110,A,16923975,402555,+42.1151357,-088.1008936,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,38830,02398319,1738830,Justice,Justice village,47,C1,N,N,G4110,A,7354851,116067,+41.7534009,-087.8269406,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,39519,02398337,1739519,Kenilworth,Kenilworth village,47,C1,N,N,G4110,A,1575956,0,+42.0888226,-087.7145117,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,40767,02398365,1740767,La Grange,La Grange village,47,C1,N,N,G4110,A,6539510,0,+41.8072139,-087.8741465,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,40793,02398366,1740793,La Grange Park,La Grange Park village,47,C1,N,N,G4110,A,5774675,0,+41.8307620,-087.8722835,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,43744,02398443,1743744,Lincolnwood,Lincolnwood village,47,C1,N,N,G4110,A,6971337,0,+42.0054299,-087.7329594,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,67769,02399188,1767769,Sauk Village,Sauk Village village,47,C1,N,N,G4110,A,10103731,10136,+41.4902523,-087.5694316,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,72520,02399892,1772520,Steger,Steger village,47,C1,N,N,G4110,A,8682985,0,+41.4722754,-087.6183623,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,01010,02397946,1701010,Alsip,Alsip village,47,C1,N,N,G4110,A,16900206,259691,+41.6702696,-087.7370851,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,04572,02398064,1704572,Bedford Park,Bedford Park village,47,C1,N,N,G4110,A,15369479,273533,+41.7677733,-087.7725558,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,04975,02398084,1704975,Bellwood,Bellwood village,47,C1,N,N,G4110,A,6211361,0,+41.8829010,-087.8761720,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,57407,02399616,1757407,Palos Park,Palos Park village,47,C1,N,N,G4110,A,16414880,313197,+41.6696408,-087.8563888,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,57875,02396148,1757875,Park Ridge,Park Ridge city,25,C1,N,N,G4110,A,18356646,121232,+42.0117617,-087.8434336,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,59572,02399667,1759572,Phoenix,Phoenix village,47,C1,N,N,G4110,A,1200803,0,+41.6117814,-087.6308520,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,61314,02399009,1761314,Posen,Posen village,47,C1,N,N,G4110,A,3027766,0,+41.6290669,-087.6858424,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,63706,02399068,1763706,Richton Park,Richton Park village,47,C1,N,N,G4110,A,10414210,31490,+41.4806790,-087.7356030,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,64278,02399086,1764278,Riverdale,Riverdale village,47,C1,N,N,G4110,A,9259989,452975,+41.6426953,-087.6356402,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,05404,02398101,1705404,Berkeley,Berkeley village,47,C1,N,N,G4110,A,3629475,0,+41.8891167,-087.9114728,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,05573,02394154,1705573,Berwyn,Berwyn city,25,C1,N,N,G4110,A,10112484,0,+41.8433327,-087.7909258,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,06704,02394203,1706704,Blue Island,Blue Island city,25,C1,N,N,G4110,A,10544393,223343,+41.6575701,-087.6811256,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,08225,02397453,1708225,Bridgeview,Bridgeview village,47,C1,N,N,G4110,A,10745081,0,+41.7402055,-087.8066587,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,08446,02397460,1708446,Broadview,Broadview village,47,C1,N,N,G4110,A,4603938,0,+41.8583718,-087.8561919,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,08576,02397465,1708576,Brookfield,Brookfield village,47,C1,N,N,G4110,A,7934256,17368,+41.8250594,-087.8475457,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,45421,02399210,1745421,Lynwood,Lynwood village,47,C1,N,N,G4110,A,12768954,198502,+41.5225652,-087.5504913,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,45434,02399212,1745434,Lyons,Lyons village,47,C1,N,N,G4110,A,5661194,148203,+41.8121844,-087.8185893,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,45564,02399289,1745564,McCook,McCook village,47,C1,N,N,G4110,A,6770441,54864,+41.7982646,-087.8415915,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,47007,02395013,1747007,Markham,Markham city,25,C1,N,N,G4110,A,13998672,0,+41.6000360,-087.6904548,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,47774,02399280,1747774,Maywood,Maywood village,47,C1,N,N,G4110,A,7036038,0,+41.8797808,-087.8441803,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,09447,02397490,1709447,Buffalo Grove,Buffalo Grove village,47,C1,N,N,G4110,A,24566158,43273,+42.1659808,-087.9618258,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,64304,02399084,1764304,River Forest,River Forest village,47,C1,N,N,G4110,A,6422499,4794,+41.8948750,-087.8190635,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,64343,02399085,1764343,River Grove,River Grove village,47,C1,N,N,G4110,A,6191728,0,+41.9242769,-087.8379312,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,64421,02399090,1764421,Riverside,Riverside village,47,C1,N,N,G4110,A,5124127,45387,+41.8309556,-087.8158544,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,64616,02399096,1764616,Robbins,Robbins village,47,C1,N,N,G4110,A,3752688,0,+41.6431246,-087.7081031,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,65819,02399123,1765819,Rosemont,Rosemont village,47,C1,N,N,G4110,A,4642312,0,+41.9889773,-087.8717393,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,68081,02399770,1768081,Schiller Park,Schiller Park village,47,C1,N,N,G4110,A,7173307,0,+41.9586263,-087.8693167,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,70122,02399827,1770122,Skokie,Skokie village,47,C1,Y,N,G4110,A,26065832,0,+42.0359704,-087.7399938,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,23074,02394641,1723074,Elgin,Elgin city,25,C1,Y,N,G4110,A,97126853,1484049,+42.0396386,-088.3217094,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,03844,02398037,1703844,Barrington,Barrington village,47,C1,N,N,G4110,A,11935099,481136,+42.1515345,-088.1285344,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,588881101,17625494,+41.8375511,-087.6818441,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,23620,02394673,1723620,Elmhurst,Elmhurst city,25,C1,N,N,G4110,A,26565390,153074,+41.8970138,-087.9436567,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
