date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	50	20	113	8	0	0	236
2004	70	28	147	7	0	0	208
2005	90	23	167	16	0	0	220
2006	84	33	163	5	0	0	247
2007	90	27	175	12	0	0	358
2008	91	18	134	9	0	0	343
2009	76	27	169	9	0	0	365
2010	82	19	161	12	0	0	434
2011	105	17	175	39	0	0	458
2012	124	221	60	0	0	0	415
2013	116	199	71	0	0	0	439
2014	125	161	157	0	0	0	497
2015	112	159	181	0	0	0	466
2016	102	124	159	0	0	0	677
