date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	128	12	79	34	3	3	2191
2004	161	18	100	12	1	1	3866
2005	178	15	86	22	4	1	3716
2006	162	14	86	33	0	1	2951
2007	207	23	97	42	4	2	3669
2008	181	22	45	26	3	4	4496
2009	212	25	66	36	4	2	3797
2010	264	23	46	45	4	0	3149
2011	264	29	61	67	2	2	2965
2012	313	26	55	125	2	1	3432
2013	320	30	67	207	3	4	799
2014	371	58	77	332	1	8	395
2015	597	128	57	271	1	3	432
2016	631	186	78	231	2	5	298
