date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	77	29	88	25	0	0	656
2004	83	29	86	10	0	0	566
2005	79	25	78	11	0	0	463
2006	65	25	90	11	0	0	269
2007	78	36	116	13	0	0	459
2008	78	30	81	13	1	0	295
2009	96	35	133	15	0	0	170
2010	101	23	203	16	0	0	375
2011	119	26	187	13	0	0	430
2012	163	37	218	34	0	0	415
2013	146	40	243	228	1	0	712
2014	172	49	190	377	3	1	661
2015	218	92	222	165	1	0	1022
2016	223	164	221	152	2	0	545
