date	AA	AS	AAS	AGS	AES	AFA	CERTIFICATES
2003	108	10	65	2	0	0	756
2004	106	18	106	1	0	0	382
2005	107	30	94	1	0	0	271
2006	100	22	97	1	0	0	203
2007	129	28	81	2	0	0	214
2008	106	37	88	3	0	0	171
2009	93	46	123	3	0	0	170
2010	81	23	116	6	0	0	420
2011	99	25	60	26	0	0	337
2012	136	23	77	73	0	0	309
2013	153	22	62	94	0	0	2247
2014	114	12	70	70	0	0	3246
2015	213	40	57	96	0	0	2587
2016	199	75	57	100	0	0	1882
